policy,family,success_seen_episodes,success_ood_episodes,failure_ood_episodes,success_seen_fa,success_ood_fa,failure_detection,failure_det_at_10,failure_det_at_25,failure_det_at_50,failure_mean_time,failure_never,objective
q95_mass_10_reset_q90_R10,recovery_reset_mass,136,211,42,0.08088235294117647,0.02843601895734597,0.7619047619047619,0.0,0.0,0.5,0.5101041666666666,0.23809523809523814,2.089411444228165
q95_mass_15_reset_q90_R10,recovery_reset_mass,136,211,42,0.0661764705882353,0.014218009478672985,0.7380952380952381,0.0,0.0,0.38095238095238093,0.5775268817204301,0.26190476190476186,1.874801308231594
q99K1_or_q95_count_10,two_stage,136,211,42,0.125,0.22274881516587677,0.9285714285714286,0.0,0.11904761904761904,0.7142857142857143,0.4163247863247862,0.0714285714285714,2.5278021254680025
q99K1_or_q95_count_20,two_stage,136,211,42,0.11764705882352941,0.14691943127962084,0.8809523809523809,0.0,0.047619047619047616,0.6190476190476191,0.4269369369369368,0.11904761904761907,2.349426903206524
q99K1_or_q95_count_30,two_stage,136,211,42,0.08823529411764706,0.07109004739336493,0.8571428571428571,0.0,0.0,0.5238095238095238,0.502962962962963,0.1428571428571429,2.2320791644725295
q99K1_or_q95_count_40,two_stage,136,211,42,0.08823529411764706,0.02843601895734597,0.8333333333333334,0.0,0.0,0.47619047619047616,0.5203809523809524,0.16666666666666663,2.193985104942451
q99K1_or_q95_count_60,two_stage,136,211,42,0.08823529411764706,0.018957345971563982,0.7380952380952381,0.0,0.0,0.42857142857142855,0.51247311827957,0.26190476190476186,1.9530146475345986
q99K1_or_q95_mass_2,two_stage,136,211,42,0.125,0.1943127962085308,0.9047619047619048,0.0,0.11904761904761904,0.6904761904761905,0.4102631578947368,0.09523809523809523,2.502856237156873
q99K1_or_q95_mass_5,two_stage,136,211,42,0.09558823529411764,0.12796208530805686,0.8809523809523809,0.0,0.023809523809523808,0.5714285714285714,0.4716216216216216,0.11904761904761907,2.2749799477880046
q99K1_or_q95_mass_10,two_stage,136,211,42,0.08823529411764706,0.02843601895734597,0.7857142857142857,0.0,0.0,0.5238095238095238,0.49000000000000005,0.2142857142857143,2.177770819228165
q99K1_or_q95_mass_20,two_stage,136,211,42,0.07352941176470588,0.014218009478672985,0.7142857142857143,0.0,0.0,0.42857142857142855,0.5165555555555555,0.2857142857142857,1.9138536635823362
